Session_ID,id,Round,SumPayoff,ChoiceSelf,ExperienceSelf,Payoff,Optimal,PayoffBetter,Hard,MouseTracking
27bsrtna,qdczif8y,42,1442,3,12,12,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""11""  ""mouseover"",""PayoffSelf"",""info"",""345""  ""mouseout"",""PayoffSelf"","""",""1012""  ""mouseover"",""ExpSelf"",""info"",""1012""  ""mouseout"",""ExpSelf"","""",""1212""  ""mouseover"",""CropSelf"",""info"",""1212""  ""mouseout"",""CropSelf"","""",""1463""  ""mouseover"",""ExpSelf"",""info"",""1463""  ""mouseout"",""ExpSelf"","""",""1496"""
27bsrtna,qdczif8y,43,1442,2,13,19,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""13""  ""mouseover"",""PayoffSelf"",""info"",""463""  ""mouseout"",""PayoffSelf"","""",""963""  ""mouseover"",""ExpSelf"",""info"",""981""  ""mouseout"",""ExpSelf"","""",""1248""  ""mouseover"",""CropSelf"",""info"",""1264""  ""mouseout"",""CropSelf"","""",""1598""  ""mouseover"",""ExpSelf"",""info"",""1598""  ""mouseout"",""ExpSelf"","""",""1614"""
27bsrtna,qdczif8y,44,1442,2,14,17,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""11""  ""mouseover"",""PayoffSelf"",""info"",""257""  ""mouseout"",""PayoffSelf"","""",""774"""
27bsrtna,qdczif8y,45,1442,2,15,18,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""19"""
27bsrtna,qdczif8y,46,1442,2,16,12,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""16""  ""mouseover"",""PayoffSelf"",""info"",""523""  ""mouseout"",""PayoffSelf"","""",""923"""
27bsrtna,qdczif8y,47,1442,2,17,16,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""827""  ""mouseout"",""PayoffSelf"","""",""1160"""
27bsrtna,qdczif8y,48,1442,2,18,14,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""20"""
27bsrtna,qdczif8y,49,1442,2,19,14,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""327""  ""mouseout"",""PayoffSelf"","""",""366"""
27bsrtna,qdczif8y,50,1442,3,20,16,2,15,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""145""  ""mouseout"",""PayoffSelf"","""",""1027"""
27bsrtna,qdczif8y,51,1442,4,1,18,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""20""  ""mouseover"",""PayoffSelf"",""info"",""2263""  ""mouseout"",""PayoffSelf"","""",""3180""  ""mouseover"",""ExpSelf"",""info"",""3181""  ""mouseout"",""ExpSelf"","""",""3214""  ""mouseover"",""CropSelf"",""info"",""3214""  ""mouseout"",""CropSelf"","""",""3246""  ""mouseover"",""CropSelf"",""info"",""3513""  ""mouseout"",""CropSelf"","""",""3896""  ""mouseover"",""ExpSelf"",""info"",""3896""  ""mouseout"",""ExpSelf"","""",""3913"""
27bsrtna,qdczif8y,52,1442,1,2,20,3,19,1,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""12""  ""mouseover"",""ExpSelf"",""info"",""468""  ""mouseout"",""ExpSelf"","""",""602""  ""mouseover"",""PayoffSelf"",""info"",""602""  ""mouseout"",""PayoffSelf"","""",""969""  ""mouseover"",""ExpSelf"",""info"",""986""  ""mouseout"",""ExpSelf"","""",""1119""  ""mouseover"",""PayoffSelf"",""info"",""1119""  ""mouseout"",""PayoffSelf"","""",""1152"""
