"Session_ID","id","ID_In_Session","Round","SumPayoff","ChoiceSelf","ExperienceSelf","Choice1","Choice2","Choice3","Experience1","Experience2","Experience3","Payoff","group_id","Optimal","PayoffBetter","Hard","Correct","n1","n2","n3","n4","ChoiceSelf_ms","Payoff_ms","ExperienceSelf_ms","Choice1_ms","Choice2_ms","Choice3_ms","Experience1_ms","Experience2_ms","Experience3_ms","Prop_Choice","Dur_Choice","Prop_Exp","Dur_Exp","n1_obs","n2_obs","n3_obs","n4_obs","Choice1_obs","Choice2_obs","Choice3_obs","Experience1_obs","Experience2_obs","Experience3_obs","Phase","TempChange","TimeSinceChange","ExpStable"
"0rcwbtsy","218jeqxc",1,77,1416,2,2,2,2,4,7,12,17,10,1,1,15,0,0,0,2,0,1,366,701,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2
"0rcwbtsy","218jeqxc",1,78,1416,1,3,4,1,4,13,8,18,14,1,1,15,0,1,1,0,0,2,384,751,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3
"0rcwbtsy","218jeqxc",1,79,1416,1,4,3,4,1,9,14,19,16,1,1,15,0,1,1,0,1,1,500,666,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4
"0rcwbtsy","218jeqxc",1,80,1416,1,5,1,1,4,20,15,10,13,1,1,15,0,1,2,0,0,1,383,504,0,350,266,368,16,32,0,1,984,0.666666666666667,48,2,0,0,1,1,1,4,20,15,0,4,0,5,5
"0rcwbtsy","218jeqxc",1,81,1416,1,6,1,0,1,11,1,16,15,1,1,15,0,1,2,0,0,0,349,601,51,183,415,452,68,0,34,1,1050,0.666666666666667,102,2,0,0,0,1,0,1,11,0,16,4,0,6,6
"0rcwbtsy","218jeqxc",1,82,1416,1,7,3,1,1,2,12,17,13,1,1,15,0,1,2,0,1,0,901,1116,567,15,0,0,34,0,0,0.333333333333333,15,0.333333333333333,34,0,0,1,0,3,0,0,2,0,0,4,0,7,7
"0rcwbtsy","218jeqxc",1,83,1416,1,8,1,1,1,13,18,3,15,1,1,15,0,1,3,0,0,0,817,634,233,334,350,399,50,0,50,1,1083,0.666666666666667,100,3,0,0,0,1,1,1,13,0,3,4,0,8,8
"0rcwbtsy","218jeqxc",1,84,1416,1,9,1,1,1,4,19,14,15,1,1,15,0,1,3,0,0,0,417,501,50,283,317,369,0,0,36,1,969,0.333333333333333,36,3,0,0,0,1,1,1,0,0,14,4,0,9,9
"0rcwbtsy","218jeqxc",1,85,1416,2,10,1,1,1,20,15,5,12,1,1,15,0,0,3,0,0,0,366,501,132,333,317,334,0,0,17,1,984,0.333333333333333,17,3,0,0,0,1,1,1,0,0,5,4,0,10,10
"0rcwbtsy","218jeqxc",1,86,1416,1,11,1,1,0,6,16,1,13,1,1,15,0,1,2,0,0,0,618,600,387,351,451,300,0,31,0,1,1102,0.333333333333333,31,2,0,0,0,1,1,0,0,16,0,4,0,11,11
"0rcwbtsy","218jeqxc",1,87,1416,1,12,1,1,2,7,17,2,16,1,1,15,0,1,2,1,0,0,399,852,584,385,351,418,0,0,67,1,1154,0.333333333333333,67,2,1,0,0,1,1,2,0,0,2,4,0,12,12
"0rcwbtsy","218jeqxc",1,88,1416,1,13,1,1,1,18,3,8,13,1,1,15,0,1,3,0,0,0,400,618,100,0,0,0,116,115,0,0,0,0.666666666666667,231,0,0,0,0,0,0,0,18,3,0,4,0,13,13
"0rcwbtsy","218jeqxc",1,89,1416,1,14,1,1,3,19,9,4,15,1,1,15,0,1,2,0,1,0,685,449,100,299,318,384,0,0,66,1,1001,0.333333333333333,66,2,0,1,0,1,1,3,0,0,4,4,0,14,14
"0rcwbtsy","218jeqxc",1,90,1416,1,15,1,4,1,5,10,20,15,1,1,15,0,1,2,0,0,1,653,601,468,266,317,316,0,0,51,1,899,0.333333333333333,51,2,0,0,1,1,4,1,0,0,20,4,0,15,15
"0rcwbtsy","218jeqxc",1,91,1416,1,16,1,0,1,6,1,11,14,1,1,15,0,1,2,0,0,0,882,952,267,451,336,217,49,0,0,1,1004,0.333333333333333,49,2,0,0,0,1,0,1,6,0,0,4,0,16,16
"0rcwbtsy","218jeqxc",1,92,1416,1,17,1,1,1,7,12,2,15,1,1,15,0,1,3,0,0,0,367,434,99,334,334,351,0,0,33,1,1019,0.333333333333333,33,3,0,0,0,1,1,1,0,0,2,4,0,17,17
"0rcwbtsy","218jeqxc",1,93,1416,1,18,1,3,1,8,13,3,14,1,1,15,0,1,2,0,1,0,301,466,101,317,185,333,85,0,19,1,835,0.666666666666667,104,2,0,1,0,1,3,1,8,0,3,4,0,18,18
"0rcwbtsy","218jeqxc",1,94,1416,1,19,1,1,1,4,9,14,12,1,1,15,0,1,3,0,0,0,417,400,150,300,167,334,0,0,67,1,801,0.333333333333333,67,3,0,0,0,1,1,1,0,0,14,4,0,19,19
"0rcwbtsy","218jeqxc",1,95,1416,1,20,1,1,1,15,5,10,16,1,1,15,0,1,3,0,0,0,368,503,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,20
"0rcwbtsy","218jeqxc",1,96,1416,1,1,3,3,3,11,6,16,10,2,3,15,0,0,0,0,3,0,517,432,134,350,366,300,0,0,35,1,1016,0.333333333333333,35,0,0,3,0,3,3,3,0,0,16,4,0,21,1
"0rcwbtsy","218jeqxc",1,97,1416,3,2,3,3,3,17,12,7,14,2,3,15,0,1,0,0,3,0,334,483,385,316,317,333,0,0,17,1,966,0.333333333333333,17,0,0,3,0,3,3,3,0,0,7,4,0,22,2
"0rcwbtsy","218jeqxc",1,98,1416,3,3,3,3,3,18,8,13,13,2,3,15,0,1,0,0,3,0,385,384,50,0,0,0,34,0,0,0,0,0.333333333333333,34,0,0,0,0,0,0,0,18,0,0,4,0,23,3
"0rcwbtsy","218jeqxc",1,99,1416,4,4,3,3,3,19,9,14,13,2,3,15,0,0,0,0,3,0,335,717,0,317,367,318,66,17,0,1,1002,0.666666666666667,83,0,0,3,0,3,3,3,19,9,0,4,0,24,4
"0rcwbtsy","218jeqxc",1,100,1416,2,5,3,3,3,20,10,15,14,2,3,15,0,0,0,0,3,0,351,717,416,318,300,317,102,0,18,1,935,0.666666666666667,120,0,0,3,0,3,3,3,20,0,15,4,0,25,5
